architecture_id,operator_index,role,role_name,perturbation_sensitivity,propagation,fixed_point_strength,abstraction_growth,hierarchy_emergence,transfer,uncertainty_handling,reconstruction,convergence,stability,compositionality,substitution_response
a001969,2,3,propagation,0.0,0.04525060600678499,0.0,0.0,0.0,0.0,0.0,0.07541767667797494,-0.030249721101862193,0.0,0.04793879823747771,0.0
a001969,3,5,stabilization,0.0,0.0,0.2857709549884632,0.0,0.28592238729315245,0.13119550560567683,0.0,0.0,0.04119301764525363,0.2449465328472542,-0.00485357543710474,0.0
a001969,4,7,compression_3,0.0,0.0,0.0,0.303749775298486,0.13463476656455226,0.0,0.0,0.0,-0.030249721101862193,0.0,0.17288109037944177,0.0
a001969,5,6,compression_2,0.0,0.025861551292042595,0.0,0.1702828484401928,0.07547657122433649,0.0,0.0,0.04310258548673773,-0.030249721101862193,0.0,0.12495671193685964,0.0
a001969,6,8,replacement,0.0,0.07393225083406502,0.0,0.0,0.0,0.0,0.0,0.07541767667797494,-0.030249721101862193,0.0,0.04793879823747771,0.2868164482728004
a001976,0,5,stabilization,0.0,0.0,0.13768938823670207,0.0,0.010522963538226515,0.0,0.0,0.0,-0.011908268211395234,0.11801947563145887,-0.0005229498003702232,0.0
a001976,1,3,propagation,0.0,0.11782157581357044,-0.03403852572937405,0.0,-0.0026014071943541994,0.008404542154883433,0.0,0.0,-0.05484024670291432,-0.029175879196606247,-0.0005229498003702232,0.0
a001976,2,5,stabilization,0.0,0.0,0.13768938823670207,0.0,0.010522963538226515,0.0,0.24861403846803465,0.0,-0.011908268211395234,0.11801947563145887,-0.0005229498003702232,0.0
a001976,3,5,stabilization,0.0,0.0,0.10671699296266057,0.0,0.008155886522821454,0.0,0.0,0.0,-0.019651367029905664,0.0914717082537091,-0.0005229498003702232,0.0
a001980,0,0,uncertainty,0.0,0.0,0.11312515043482396,0.0,0.007827735724149909,0.0,0.25134400981279625,0.0,-0.03381508596307736,0.09696441465842054,-0.0006186047679296106,0.0
a001980,1,5,stabilization,0.0,0.0,0.15341298006331328,0.0,0.010615466675394813,0.0,0.0,0.0,-0.023743128555955062,0.13149684005426854,-0.0006186047679296106,0.0
a001984,0,0,uncertainty,0.0,0.0,0.0,0.0,0.0,0.0,0.15033728159116855,0.0,-0.026993650623918453,0.0,-0.003332268810073813,0.0
a001984,1,4,reconstruction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15462244025255822,-0.026993650623918453,0.0,-0.003332268810073813,0.0
a001984,2,5,stabilization,0.0,0.027680546722866017,0.10232332573096736,0.0,0.0778870220250345,0.0,0.0,0.0,-0.0014128191911766397,0.08770570776940068,-0.003332268810073813,0.27680546722866006
a001984,3,1,compression,0.0,0.0,0.0,0.47359507260622347,0.2298552016970915,0.0,0.0,0.0,-0.026993650623918453,0.0,0.27050283086352467,0.0
a001984,4,5,stabilization,0.0,0.0,0.15097376065159934,0.0,0.11491902298006196,0.0,0.07173079522356074,0.0,0.010749789538981425,0.12940608055851377,-0.003332268810073813,0.0
a001984,5,3,propagation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07881737647085563,-0.026993650623918453,0.0,-0.003332268810073813,0.0
